,20,25,30,40,50,60,70,80,90,100,110
1,0,0,500,700,800,1000,1200,1300,1500,1600,1800
2,700,0,1000,1300,1600,2000,2300,2600,2900,3200,3600
3,1300,1600,2000,2600,3200,3900,4000,4000,4000,4000,4000
4,2600,3200,3900,4000,4000,4000,4000,4000,4000,4000,4000
5,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
6,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
7,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
8,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
9,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
10,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
11,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
12,12000,12000,1200,1200,1200,12000,12000,12000,12000,12000,12000
13,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
